Year,Destination,Jan - Residence,Feb - Residence,Mar - Residence,Apr - Residence,May - Residence,Jun - Residence,Jul - Residence,Aug - Residence,Sep - Residence,Oct - Residence,Nov - Residence,Dec - Residence,Jan - Nationality,Feb - Nationality,Mar - Nationality,Apr - Nationality,May - Nationality,Jun - Nationality,Jul - Nationality,Aug - Nationality,Sep - Nationality,Oct - Nationality,Nov - Nationality,Dec - Nationality
2000,Australia,32256,21608,28040,15584,21140,15989,14708,15479,16504,26430,11972,17065,0,0,0,0,0,0,0,0,0,0,0,0
2000,New Zealand,2335,1913,2303,1600,1550,1554,2318,993,1275,1474,947,1089,0,0,0,0,0,0,0,0,0,0,0,0
2000,Japan,45544,38234,50594,42763,50491,29680,38668,34413,34745,36215,28075,26559,0,0,0,0,0,0,0,0,0,0,0,0
2000,China,44002,69284,50250,64306,64891,48265,42641,24173,18292,31040,16600,27846,0,0,0,0,0,0,0,0,0,0,0,0
2000,Chinese Taipei,17315,23982,17529,18608,18468,22716,25178,19904,15959,12596,10852,9909,0,0,0,0,0,0,0,0,0,0,0,0
2000,Korea (ROK),7734,5701,6264,7409,6764,6914,6672,5576,3120,5020,3020,8249,0,0,0,0,0,0,0,0,0,0,0,0
2000,UK,22116,27336,29135,26384,22741,23051,24920,16641,11533,14126,9600,10174,0,0,0,0,0,0,0,0,0,0,0,0
2000,Sweden,7703,7045,7707,3169,3087,2596,2709,1799,1353,3656,4161,3754,0,0,0,0,0,0,0,0,0,0,0,0
2000,Finland,4002,3402,3417,1320,929,710,577,678,682,2977,1850,2123,0,0,0,0,0,0,0,0,0,0,0,0
2000,Norway,1851,1970,2184,1041,982,789,1184,1032,858,2221,938,816,0,0,0,0,0,0,0,0,0,0,0,0
2000,Denmark,924,1248,1123,646,866,660,985,841,523,960,836,987,0,0,0,0,0,0,0,0,0,0,0,0
2000,Singapore,307954,361806,311751,518348,452703,549672,353526,439151,481589,548748,468517,626435,0,0,0,0,0,0,0,0,0,0,0,0
2000,Thailand,67657,60170,72822,58494,89109,83198,81948,66725,55243,116157,98702,89990,0,0,0,0,0,0,0,0,0,0,0,0
2000,Indonesia,49136,34389,24745,36478,48417,52373,80752,27315,38117,44596,43063,65670,0,0,0,0,0,0,0,0,0,0,0,0
2000,Brunei Darussalam,15305,21781,8903,21468,12570,20074,23400,10686,11324,19569,10645,19334,0,0,0,0,0,0,0,0,0,0,0,0
2000,Philippines,5458,7247,4925,7556,7439,8786,6963,5944,6174,6422,6724,8289,0,0,0,0,0,0,0,0,0,0,0,0
2000,Vietnam,248,524,433,881,1272,1198,1174,1040,313,294,216,376,0,0,0,0,0,0,0,0,0,0,0,0
2000,South Africa,2307,1475,2143,578,914,316,1124,485,452,605,315,826,0,0,0,0,0,0,0,0,0,0,0,0
2000,India,16993,12219,12843,11877,9326,11816,10950,7005,10711,10659,6388,11340,0,0,0,0,0,0,0,0,0,0,0,0
2000,Iran,650,785,731,310,423,281,162,225,280,174,206,287,0,0,0,0,0,0,0,0,0,0,0,0
2000,Italy,5869,4652,4903,3167,1711,1427,1124,3741,1596,3872,1362,1124,0,0,0,0,0,0,0,0,0,0,0,0
2000,Russian Federation,1212,476,600,572,487,189,175,413,271,582,398,424,0,0,0,0,0,0,0,0,0,0,0,0
2000,USA,15573,15174,21094,15047,16666,17224,19942,11416,10954,18122,10616,12272,0,0,0,0,0,0,0,0,0,0,0,0
2000,Canada,6374,6614,7745,4137,4710,4041,3545,5046,2888,3145,3853,3701,0,0,0,0,0,0,0,0,0,0,0,0
2000,Saudi Arabia,1227,829,2284,582,736,1509,8610,7552,2439,1220,465,355,0,0,0,0,0,0,0,0,0,0,0,0
2000,Turkey,1112,1158,1279,773,623,338,395,605,365,1132,484,441,0,0,0,0,0,0,0,0,0,0,0,0
2000,UAE,219,205,189,60,88,165,524,694,171,14,7,55,0,0,0,0,0,0,0,0,0,0,0,0
2000,Germany,7752,9182,11267,7902,9441,6172,6957,3172,3140,3975,2847,2749,0,0,0,0,0,0,0,0,0,0,0,0
2000,France,4588,4347,4919,1910,2589,1549,2028,3013,1311,2321,1481,1729,0,0,0,0,0,0,0,0,0,0,0,0
2000,Netherlands,3696,3982,4389,1435,2419,2191,2887,3520,2025,3345,2746,2765,0,0,0,0,0,0,0,0,0,0,0,0
2000,Switzerland,1194,1335,1444,662,911,645,656,721,404,883,458,900,0,0,0,0,0,0,0,0,0,0,0,0
2001,Australia,30666,19892,20381,27422,15880,20288,18529,20577,15048,14521,7911,11225,0,0,0,0,0,0,0,0,0,0,0,0
2001,New Zealand,1528,2121,2621,3909,2604,3450,3401,2459,2842,2217,1116,1625,0,0,0,0,0,0,0,0,0,0,0,0
2001,China,50270,59257,54354,65728,56745,47544,59249,74402,29362,35048,23668,42230,0,0,0,0,0,0,0,0,0,0,0,0
2001,Japan,46448,43542,44826,39721,28662,33003,43246,47518,26352,13310,15742,15269,0,0,0,0,0,0,0,0,0,0,0,0
2001,Chinese Taipei,15969,22687,21331,31176,26645,27449,25012,32391,14409,11918,7888,12936,0,0,0,0,0,0,0,0,0,0,0,0
2001,Korea (ROK),5168,7761,5964,7664,5034,5678,7455,7730,3725,3068,3124,3972,0,0,0,0,0,0,0,0,0,0,0,0
2001,UK,21922,27984,32491,36678,17340,19891,23778,22908,17948,15184,10696,15603,0,0,0,0,0,0,0,0,0,0,0,0
2001,Sweden,4841,5098,5190,4970,2323,2364,2693,1630,1463,1470,1190,1821,0,0,0,0,0,0,0,0,0,0,0,0
2001,Finland,1933,1896,2424,1656,1131,1256,1143,899,756,664,583,943,0,0,0,0,0,0,0,0,0,0,0,0
2001,Denmark,1786,2350,2541,2652,1729,1795,1905,1478,1120,1191,711,512,0,0,0,0,0,0,0,0,0,0,0,0
2001,Norway,1031,1497,1653,2024,943,910,1253,925,684,644,414,552,0,0,0,0,0,0,0,0,0,0,0,0
2001,Singapore,575517,571817,818897,700911,539449,744103,558337,549786,563149,292768,432336,604524,0,0,0,0,0,0,0,0,0,0,0,0
2001,Thailand,72330,77257,88203,135709,99656,113350,117926,111067,52903,44584,62774,43038,0,0,0,0,0,0,0,0,0,0,0,0
2001,Indonesia,67318,51937,58626,61230,59180,84642,83855,71777,63099,49763,44631,81391,0,0,0,0,0,0,0,0,0,0,0,0
2001,Brunei Darussalam,19171,24267,24310,37419,28177,28003,21335,32873,22438,20634,22981,27921,0,0,0,0,0,0,0,0,0,0,0,0
2001,Philippines,9440,10603,13376,14935,12207,11636,9778,9525,8159,6599,6751,9419,0,0,0,0,0,0,0,0,0,0,0,0
2001,Vietnam,1144,1309,1724,2476,1358,1666,1765,1787,2760,951,602,1187,0,0,0,0,0,0,0,0,0,0,0,0
2001,South Africa,1454,1558,2206,3645,1872,1668,2309,1437,1260,1357,764,1236,0,0,0,0,0,0,0,0,0,0,0,0
2001,India,17426,9091,9893,12736,14308,16305,14172,16028,10819,6441,5868,10426,0,0,0,0,0,0,0,0,0,0,0,0
2001,Iran,779,1601,4072,2102,912,1292,982,928,857,651,388,451,0,0,0,0,0,0,0,0,0,0,0,0
2001,Italy,1226,2154,2955,2455,694,1488,1362,4520,1453,991,553,785,0,0,0,0,0,0,0,0,0,0,0,0
2001,Russian Federation,550,450,430,455,388,290,199,351,265,284,335,279,0,0,0,0,0,0,0,0,0,0,0,0
2001,USA,15662,15749,15848,17202,11902,14997,19483,11140,6699,5640,5000,6505,0,0,0,0,0,0,0,0,0,0,0,0
2001,Canada,3589,4491,4619,5052,3711,3442,3115,3387,1847,1899,1412,2371,0,0,0,0,0,0,0,0,0,0,0,0
2001,Saudi Arabia,859,1243,2192,1603,1250,3164,11873,12827,2413,933,578,1022,0,0,0,0,0,0,0,0,0,0,0,0
2001,Turkey,481,995,1106,648,439,640,350,349,435,302,239,408,0,0,0,0,0,0,0,0,0,0,0,0
2001,UAE,321,658,980,1055,468,916,3125,4161,987,359,240,492,0,0,0,0,0,0,0,0,0,0,0,0
2001,Germany,3886,7799,9803,10476,5379,5459,6665,5076,4697,4449,3257,3455,0,0,0,0,0,0,0,0,0,0,0,0
2001,Netherlands,3119,4741,5959,5553,3695,4790,5166,6543,4800,3504,1923,2241,0,0,0,0,0,0,0,0,0,0,0,0
2001,France,1982,3778,3871,4617,2770,2572,2778,4106,2082,1812,1144,1410,0,0,0,0,0,0,0,0,0,0,0,0
